Back,Πίσω
Delete,Διαγραφή
"Are you sure you want to do this?","Είσαι σίγουρος ότι θέλεις να το κάνεις αυτό"
"Save and Continue Edit","Αποθήκευση και συνέχιση Επεξεργασία"
Save,Αποθήκευση
ID,ID
Email,"Ηλεκτρονικό ταχυδρομείο"
Name,Όνομα
Company,Εταιρεία
Conditions,Συνθήκες
"Apply the rule only if the following conditions are met (leave blank for all products).","Εφαρμόστε τον κανόνα μόνο εάν πληρούνται οι ακόλουθες προϋποθέσεις (αφήστε το κενό για όλα τα προϊόντα)."
"Add Custom License","Προσθήκη προσαρμοσμένης άδειας"
"-- Please Select --","-- Παρακαλώ επιλέξτε --"
"Unable to fetch previous categories.","Αδυναμία ανάκτησης προηγούμενων κατηγοριών."
AM,AM
PM,PM
None,Κανένα
"You deleted the record.","Διαγράψατε το αρχείο."
"Record does not exist.","Η εγγραφή δεν υπάρχει."
"This record no longer exists.","Αυτό το αρχείο δεν υπάρχει πλέον."
"Category Edit","Κατηγορία Επεξεργασία"
Category,Κατηγορία
"Please correct the data sent.","Παρακαλούμε διορθώστε τα δεδομένα που εστάλησαν."
"There was an error saving the data: ","Υπήρξε σφάλμα κατά την αποθήκευση των δεδομένων: "
"A total of %1 record(s) have been deleted.","Έχουν διαγραφεί συνολικά %1 εγγραφές."
"You saved this record.","Έχετε αποθηκεύσει αυτό το αρχείο."
"Something went wrong while saving the record.","Κάτι πήγε στραβά κατά την αποθήκευση της εγγραφής."
"Category Identifier","Αναγνωριστικό κατηγορίας"
"To apply changes you should fill in required ""%1"" field","Για να εφαρμόσετε τις αλλαγές θα πρέπει να συμπληρώσετε το υποχρεωτικό πεδίο ""%1"""
"Size Edit","Μέγεθος Επεξεργασία"
Size,Μέγεθος
"Size Identifier","Αναγνωριστικό μεγέθους"
"Usage Edit","Χρήση Επεξεργασία"
Usage,Χρήση
"Usage Identifier","Αναγνωριστικό χρήσης"
"Could not save the category: %1","Δεν ήταν δυνατή η αποθήκευση της κατηγορίας: %1"
"Category with id ""%1"" does not exist.","Η κατηγορία με αναγνωριστικό ""%1"" δεν υπάρχει."
"Could not delete the Category: %1","Δεν ήταν δυνατή η διαγραφή της κατηγορίας: %1"
"Could not save the size: %1","Δεν ήταν δυνατή η αποθήκευση του μεγέθους: %1"
