Back,Lưng
Delete,Xóa
"Are you sure you want to do this?","Bạn có chắc chắn muốn làm điều này?"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
Save,Cứu
ID,ID
Email,Email
Name,Tên
Company,"Công ty"
Conditions,"Điều kiện"
"Apply the rule only if the following conditions are met (leave blank for all products).","Chỉ áp dụng quy tắc nếu đáp ứng các điều kiện sau (để trống cho tất cả các sản phẩm)."
"Add Custom License","Thêm giấy phép tùy chỉnh"
"-- Please Select --","-- Vui lòng chọn --"
"Unable to fetch previous categories.","Không thể tìm nạp các danh mục trước đó."
AM,SÁNG
PM,AM
None,"Không ai"
"You deleted the record.","Bạn đã xóa bản ghi."
"Record does not exist.","Bản ghi không tồn tại."
"This record no longer exists.","Bản ghi này không còn tồn tại."
"Category Edit","Thể loạiChỉnh sửa"
Category,Loại
"Please correct the data sent.","Vui lòng sửa dữ liệu đã gửi."
"There was an error saving the data: ","Đã xảy ra lỗi khi lưu dữ liệu: "
"A total of %1 record(s) have been deleted.","Tổng cộng (các) bản ghi %1 đã bị xóa."
"You saved this record.","Bạn đã lưu bản ghi này."
"Something went wrong while saving the record.","Đã xảy ra sự cố trong khi lưu hồ sơ."
"Category Identifier","Định danh danh mục"
"To apply changes you should fill in required ""%1"" field","Để áp dụng các thay đổi, bạn nên điền vào trường ""%1"" bắt buộc"
"Size Edit","Kích thước Chỉnh sửa"
Size,"Kích thước"
"Size Identifier","Mã định danh kích thước"
"Usage Edit","Sử dụng Chỉnh sửa"
Usage,"Sử dụng"
"Usage Identifier","Mã định danh sử dụng"
"Could not save the category: %1","Không thể lưu thể loại: %1"
"Category with id ""%1"" does not exist.","Danh mục có id ""%1"" không tồn tại."
"Could not delete the Category: %1","Không thể xóa Thể loại:%1"
"Could not save the size: %1","Không thể lưu kích thước: %1"
"Size with id ""%1"" does not exist.","Kích thước với id ""%1"" không tồn tại."
"Could not delete the Size: %1","Không thể xóa Kích thước: %1"
"The option type to get group instance is incorrect.","Loại tùy chọn để lấy phiên bản nhóm không chính xác."
"Select type options required values rows.","Chọn loại, tùy chọn, giá trị bắt buộc, hàng."
"usage_id should be specified","usage_id nên được chỉ định"
"Could not remove custom option","Không thể loại bỏ tùy chọn tùy chỉnh"
"Please specify date required option(s).","Vui lòng chỉ định (các) tùy chọn ngày bắt buộc."
"Please specify time required option(s).","Vui lòng chỉ định (các) tùy chọn thời gian cần thiết."
"Please specify product's required option(s).","Vui lòng nêu rõ (các) tùy chọn bắt buộc của sản phẩm."
"The option instance type in options group is incorrect.","Loại phiên bản tùy chọn trong nhóm tùy chọn không chính xác."
"The product instance type in options group is incorrect.","Loại phiên bản sản phẩm trong nhóm tùy chọn không chính xác."
"The configuration item option instance in options group is incorrect.","Phiên bản tùy chọn mục cấu hình trong nhóm tùy chọn không chính xác."
"The configuration item instance in options group is incorrect.","Phiên bản mục cấu hình trong nhóm tùy chọn không chính xác."
"The BuyRequest instance in options group is incorrect.","Phiên bản BuyRequest trong nhóm tùy chọn không chính xác."
"We can't add the product to the cart because of an option validation issue.","Chúng tôi không thể thêm sản phẩm vào giỏ hàng do sự cố xác thực tùy chọn."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 không mở rộng \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Định dạng tùy chọn tệp không hợp lệ."
px.,Px.
