Back,バック
Delete,削除
"Are you sure you want to do this?",本当にやりたいのか？
"Save and Continue Edit",保存して編集を続ける
Save,セーブ
ID,身分証明書
Email,電子メール
Name,名称
Company,会社概要
Conditions,条件
"Apply the rule only if the following conditions are met (leave blank for all products).",以下の条件を満たす場合のみルールを適用する（全製品に適用する場合は空欄にする）。
"Add Custom License",カスタムライセンスの追加
"-- Please Select --","-- 選択してください"
"Unable to fetch previous categories.",以前のカテゴリーを取得できません。
AM,午前
PM,PM
None,なし
"You deleted the record.",あなたは記録を削除した。
"Record does not exist.",レコードが存在しない。
"This record no longer exists.",この記録はもう存在しない。
"Category Edit",カテゴリー編集
Category,カテゴリー
"Please correct the data sent.",送信されたデータを修正してください。
"There was an error saving the data: ","データの保存にエラーが発生しました： "
"A total of %1 record(s) have been deleted.","合計 %1 レコードが削除されました。"
"You saved this record.",あなたはこの記録を保存した。
"Something went wrong while saving the record.",レコードの保存中に何か問題が起きた。
"Category Identifier",カテゴリー識別子
"To apply changes you should fill in required ""%1"" field","変更を適用するには、必須の ""%1"" フィールドに入力する必要があります。"
"Size Edit",サイズ編集
Size,サイズ
"Size Identifier",サイズ識別子
"Usage Edit",使用法の編集
Usage,使用方法
"Usage Identifier",使用識別子
"Could not save the category: %1","カテゴリを保存できませんでした: %1"
"Category with id ""%1"" does not exist.","id ""%1"" を持つカテゴリが存在しません。"
"Could not delete the Category: %1","カテゴリを削除できませんでした: %1"
"Could not save the size: %1","サイズを保存できませんでした: %1"
"Size with id ""%1"" does not exist.","id ""%1"" を持つサイズが存在しません。"
"Could not delete the Size: %1","サイズを削除できませんでした: %1"
"The option type to get group instance is incorrect.",グループインスタンスを取得するオプションタイプが正しくありません。
"Select type options required values rows.",タイプオプションの必要な値の行を選択します。
"usage_id should be specified",usage_idを指定する必要がある。
"Could not remove custom option",カスタムオプションを削除できませんでした
"Please specify date required option(s).",必要なオプションをご指定ください。
"Please specify time required option(s).",必要なオプションをご指定ください。
"Please specify product's required option(s).",必要なオプションをご指定ください。
"The option instance type in options group is incorrect.",オプショングループのオプションインスタンスタイプが正しくありません。
"The product instance type in options group is incorrect.",オプショングループの製品インスタンスタイプが正しくありません。
"The configuration item option instance in options group is incorrect.",オプショングループの構成項目オプションインスタンスが正しくありません。
"The configuration item instance in options group is incorrect.",オプショングループの設定項目のインスタンスが正しくありません。
"The BuyRequest instance in options group is incorrect.","オプショングループの BuyRequest インスタンスが正しくありません。"
"We can't add the product to the cart because of an option validation issue.",オプションのバリデーションに問題があるため、商品をカートに追加できません。
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","1 doesn't extends \MagentoCatalog"
"The file options format is not valid.",ファイルオプションの形式が無効です。
px.,px。
"The file '%1' for '%2' has an invalid extension.","2' のファイル '%1' の拡張子が無効です。"
"The maximum allowed image size for '%1' is %2x%3 px.","1' で許可される最大画像サイズは %2x%3 px です。"
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","あなたがアップロードしたファイル '%1' は、サーバで許可されている %2 MB よりも大きいです。"
"The file '%1' is empty. Please choose another one","ファイル '%1' は空です。別のものを選択してください。"
"The file '%1' is invalid. Please choose another one","ファイル '%1' は無効です。別のものを選択してください。"
