Back,Kembali
Delete,Menghapus
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
Save,Simpan
ID,ID
Email,Email
Name,Nama
Company,Perusahaan
Conditions,Ketentuan
"Apply the rule only if the following conditions are met (leave blank for all products).","Terapkan aturan ini hanya jika kondisi berikut ini terpenuhi (biarkan kosong untuk semua produk)."
"Add Custom License","Tambahkan Lisensi Khusus"
"-- Please Select --","-- Silakan Pilih -"
"Unable to fetch previous categories.","Tidak dapat mengambil kategori sebelumnya."
AM,AM
PM,PM
None,"Tidak ada"
"You deleted the record.","Anda telah menghapus catatan tersebut."
"Record does not exist.","Catatan tidak ada."
"This record no longer exists.","Catatan ini sudah tidak ada lagi."
"Category Edit","Edit Kategori"
Category,Kategori
"Please correct the data sent.","Harap perbaiki data yang dikirim."
"There was an error saving the data: ","Terjadi kesalahan dalam menyimpan data: "
"A total of %1 record(s) have been deleted.","Sebanyak %1 catatan telah dihapus."
"You saved this record.","Anda menyimpan catatan ini."
"Something went wrong while saving the record.","Ada yang tidak beres saat menyimpan rekaman."
"Category Identifier","Pengenal Kategori"
"To apply changes you should fill in required ""%1"" field","Untuk menerapkan perubahan, Anda harus mengisi kolom ""%1"" yang diperlukan"
"Size Edit","Edit Ukuran"
Size,Ukuran
"Size Identifier","Pengenal Ukuran"
"Usage Edit","Edit Penggunaan"
Usage,Penggunaan
"Usage Identifier","Pengidentifikasi Penggunaan"
"Could not save the category: %1","Tidak dapat menyimpan kategori: %1"
"Category with id ""%1"" does not exist.","Kategori dengan id ""%1"" tidak ada."
"Could not delete the Category: %1","Tidak dapat menghapus Kategori: %1"
"Could not save the size: %1","Tidak dapat menyimpan ukuran: %1"
"Size with id ""%1"" does not exist.","Ukuran dengan id ""%1"" tidak ada."
"Could not delete the Size: %1","Tidak dapat menghapus Ukuran: %1"
"The option type to get group instance is incorrect.","Jenis opsi untuk mendapatkan instance grup salah."
"Select type options required values rows.","Pilih opsi jenis baris nilai yang diperlukan."
"usage_id should be specified","usage_id harus ditentukan"
"Could not remove custom option","Tidak dapat menghapus opsi khusus"
"Please specify date required option(s).","Harap tentukan opsi tanggal yang diperlukan."
"Please specify time required option(s).","Silakan tentukan opsi waktu yang diperlukan."
"Please specify product's required option(s).","Harap tentukan opsi yang diperlukan produk."
"The option instance type in options group is incorrect.","Jenis contoh opsi dalam grup opsi salah."
"The product instance type in options group is incorrect.","Jenis contoh produk dalam grup opsi salah."
"The configuration item option instance in options group is incorrect.","Contoh opsi item konfigurasi dalam grup opsi salah."
"The configuration item instance in options group is incorrect.","Contoh item konfigurasi dalam grup opsi salah."
"The BuyRequest instance in options group is incorrect.","Instance BuyRequest dalam grup opsi salah."
"We can't add the product to the cart because of an option validation issue.","Kami tidak dapat menambahkan produk ke troli karena masalah validasi opsi."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 tidak memperpanjang \Magento\Katalog\Model\Produk\Opsi\Tipe\TipeDefault"
"The file options format is not valid.","Format opsi file tidak valid."
px.,px.
"The file '%1' for '%2' has an invalid extension.","File '%1' untuk '%2' memiliki ekstensi yang tidak valid."
"The maximum allowed image size for '%1' is %2x%3 px.","Ukuran gambar maksimum yang diizinkan untuk '%1' adalah %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","File '%1' yang Anda unggah lebih besar dari %2 megabyte yang diizinkan oleh server kami."
"The file '%1' is empty. Please choose another one","File '%1' kosong. Silakan pilih yang lain"
