Back,Kembali
Delete,Menghapuskan
"Are you sure you want to do this?","Adakah anda pasti mahu melakukan ini?"
"Save and Continue Edit","Simpan dan Teruskan Edit"
Save,Simpan
ID,ID
Email,E-mel
Name,Nama
Company,Syarikat
Conditions,Syarat
"Apply the rule only if the following conditions are met (leave blank for all products).","Gunakan peraturan hanya jika syarat berikut dipenuhi (biarkan kosong untuk semua produk)."
"Add Custom License","Tambah Lesen Tersuai"
"-- Please Select --","-- Sila pilih --"
"Unable to fetch previous categories.","Tidak dapat mengambil kategori sebelumnya."
AM,AM
PM,PM
None,Tiada
"You deleted the record.","Anda memadamkan rekod."
"Record does not exist.","Rekod tidak wujud."
"This record no longer exists.","Rekod ini tidak lagi wujud."
"Category Edit","Sunting Kategori"
Category,Kategori
"Please correct the data sent.","Sila betulkan data yang dihantar."
"There was an error saving the data: ","Terdapat ralat menyimpan data: "
"A total of %1 record(s) have been deleted.","Sebanyak %1 rekod telah dipadamkan."
"You saved this record.","Anda menyimpan rekod ini."
"Something went wrong while saving the record.","Sesuatu yang tidak kena semasa menyimpan rekod."
"Category Identifier","Pengecam Kategori"
"To apply changes you should fill in required ""%1"" field","Untuk menggunakan perubahan, anda perlu mengisi medan ""%1"" yang diperlukan"
"Size Edit","Saiz Edit"
Size,Saiz
"Size Identifier","Pengecam Saiz"
"Usage Edit","Sunting Penggunaan"
Usage,Penggunaan
"Usage Identifier","Pengecam Penggunaan"
"Could not save the category: %1","Tidak dapat menyimpan kategori: %1"
"Category with id ""%1"" does not exist.","Kategori dengan id ""%1"" tidak wujud."
"Could not delete the Category: %1","Tidak dapat memadamkan Kategori: %1"
"Could not save the size: %1","Tidak dapat menyimpan saiz: %1"
"Size with id ""%1"" does not exist.","Saiz dengan id ""%1"" tidak wujud."
"Could not delete the Size: %1","Tidak dapat memadamkan Saiz: %1"
"The option type to get group instance is incorrect.","Jenis pilihan untuk mendapatkan contoh kumpulan tidak betul."
"Select type options required values rows.","Pilih pilihan jenis baris nilai yang diperlukan."
"usage_id should be specified","usage_id perlu dinyatakan"
"Could not remove custom option","Tidak dapat mengalih keluar pilihan tersuai"
"Please specify date required option(s).","Sila nyatakan pilihan tarikh yang diperlukan."
"Please specify time required option(s).","Sila nyatakan pilihan masa yang diperlukan."
"Please specify product's required option(s).","Sila nyatakan pilihan yang diperlukan produk."
"The option instance type in options group is incorrect.","Jenis contoh opsyen dalam kumpulan opsyen adalah tidak betul."
"The product instance type in options group is incorrect.","Jenis contoh produk dalam kumpulan pilihan tidak betul."
"The configuration item option instance in options group is incorrect.","Contoh pilihan item konfigurasi dalam kumpulan pilihan tidak betul."
"The configuration item instance in options group is incorrect.","Contoh item konfigurasi dalam kumpulan pilihan tidak betul."
"The BuyRequest instance in options group is incorrect.","Contoh BuyRequest dalam kumpulan pilihan tidak betul."
"We can't add the product to the cart because of an option validation issue.","Kami tidak boleh menambah produk ke troli kerana isu pengesahan pilihan."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 tidak memanjangkan \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Format pilihan fail tidak sah."
px.,px.
"The file '%1' for '%2' has an invalid extension.","Fail '%1' untuk '%2' mempunyai sambungan yang tidak sah."
"The maximum allowed image size for '%1' is %2x%3 px.","Saiz imej maksimum yang dibenarkan untuk '%1' ialah %2x%3 px."
